iter	Passed	Remaining
473	667	740
474	668	738
475	669	736
476	670	734
477	671	732
478	672	731
479	673	729
480	673	727
481	674	725
482	676	723
483	677	722
484	678	720
485	679	718
486	680	716
487	681	715
488	682	713
489	683	711
490	684	709
491	685	708
492	686	706
493	687	704
494	688	702
495	689	700
496	691	699
497	692	698
498	693	696
499	695	695
500	696	693
501	697	691
502	698	690
503	699	688
504	700	686
505	701	684
506	702	683
507	703	681
508	704	679
509	705	677
510	707	676
511	708	675
512	710	674
513	711	672
514	712	670
515	713	669
516	714	667
517	715	665
518	716	664
519	717	662
520	718	660
521	719	658
522	720	657
523	722	656
524	723	654
525	724	652
526	725	651
527	726	649
528	727	647
529	728	646
530	729	644
531	730	642
532	731	641
533	732	639
534	733	637
535	734	635
536	735	634
537	736	632
538	738	631
539	740	630
540	741	628
541	742	627
542	743	625
543	744	624
544	745	622
545	746	620
546	747	619
547	748	617
548	749	615
549	753	616
550	754	614
551	755	612
552	756	611
553	757	609
554	758	608
555	759	606
556	760	604
557	761	602
558	762	601
559	763	599
560	763	597
561	765	596
562	766	595
563	767	593
564	768	591
565	769	590
566	770	588
567	771	587
568	773	585
569	774	584
570	775	582
571	775	580
572	776	578
573	777	577
574	778	575
575	780	574
576	782	573
577	783	572
578	784	570
579	785	568
580	786	567
581	787	565
582	788	564
583	789	562
584	790	560
585	791	559
586	792	557
587	793	555
588	794	554
589	796	553
590	797	551
591	798	550
592	799	548
593	800	546
594	801	545
595	802	543
596	803	542
597	804	540
598	805	539
599	806	537
600	807	535
601	808	534
602	809	532
603	810	531
604	811	530
605	813	528
606	814	527
607	815	525
608	816	523
609	817	522
610	818	521
611	819	519
612	820	517
613	821	516
614	822	514
615	823	513
616	824	511
617	825	510
618	826	508
619	827	507
620	828	505
621	829	504
622	830	502
623	831	501
624	832	499
625	833	498
626	834	496
627	835	495
628	836	493
629	837	491
630	839	490
631	840	489
632	841	488
633	843	486
634	843	485
635	844	483
636	845	481
637	846	480
638	847	478
639	848	477
640	849	475
641	850	474
642	851	472
643	852	471
644	854	470
645	855	468
646	856	467
647	857	465
648	858	464
649	859	462
650	860	461
651	861	459
652	862	458
653	863	456
654	864	455
655	865	453
656	866	452
657	867	450
658	869	449
659	870	448
660	871	446
661	872	445
662	873	443
663	874	442
664	875	441
665	876	439
666	877	438
667	878	436
668	879	434
669	880	433
670	881	431
671	882	430
672	883	429
673	884	427
674	885	426
675	886	424
676	887	423
677	888	422
678	889	420
679	891	419
680	892	417
681	893	416
682	894	414
683	895	413
684	896	412
685	897	411
686	899	409
687	900	408
688	901	406
689	902	405
690	903	403
691	904	402
692	905	401
693	906	399
694	907	398
695	908	396
696	909	395
697	910	393
698	911	392
699	912	391
700	913	389
701	914	388
702	915	386
703	916	385
704	917	384
705	919	382
706	920	381
707	921	379
708	922	378
709	923	377
710	923	375
711	924	374
712	926	372
713	927	371
714	929	370
715	930	368
716	931	367
717	932	366
718	933	364
719	934	363
720	935	361
721	936	360
722	937	359
723	938	357
724	939	356
725	939	354
726	941	353
727	942	352
728	943	350
729	944	349
730	945	348
731	946	346
732	947	345
733	949	343
734	949	342
735	950	341
736	951	339
737	952	338
738	953	336
739	954	335
740	956	334
741	957	332
742	958	331
743	959	330
744	960	328
745	961	327
746	962	325
747	963	324
748	964	323
749	965	321
750	966	320
751	967	319
752	968	317
753	969	316
754	971	315
755	972	313
756	973	312
757	974	311
758	975	309
759	976	308
760	977	307
761	978	305
762	979	304
763	980	302
764	981	301
765	982	300
766	983	298
767	984	297
768	986	296
769	987	294
770	988	293
771	989	292
772	990	290
773	991	289
774	992	288
775	993	286
776	994	285
777	995	284
778	996	282
779	997	281
780	998	279
781	999	278
782	1001	277
783	1002	276
784	1003	274
785	1004	273
786	1005	272
787	1007	270
788	1007	269
789	1008	268
790	1009	266
791	1010	265
792	1011	264
793	1012	262
794	1014	261
795	1016	260
796	1018	259
797	1019	257
798	1020	256
799	1020	255
800	1022	253
801	1023	252
802	1024	251
803	1025	249
804	1026	248
805	1026	247
806	1028	245
807	1029	244
808	1030	243
809	1031	242
810	1033	240
811	1034	239
812	1035	238
813	1036	236
814	1037	235
815	1038	234
816	1039	232
817	1040	231
818	1041	230
819	1042	228
820	1043	227
821	1045	226
822	1046	225
823	1047	223
824	1048	222
825	1049	221
826	1050	219
827	1051	218
828	1052	217
829	1053	215
830	1054	214
831	1055	213
832	1056	211
833	1057	210
834	1059	209
835	1061	208
836	1062	206
837	1063	205
838	1064	204
839	1065	202
840	1066	201
841	1067	200
842	1068	198
843	1069	197
844	1070	196
845	1071	195
846	1073	193
847	1074	192
848	1075	191
849	1076	190
850	1077	188
851	1078	187
852	1080	186
853	1080	184
854	1081	183
855	1082	182
856	1084	180
857	1085	179
858	1086	178
859	1088	177
860	1089	175
861	1090	174
862	1091	173
863	1092	171
864	1093	170
865	1094	169
866	1095	168
867	1096	166
868	1097	165
869	1099	164
870	1099	162
871	1100	161
872	1103	160
873	1104	159
874	1105	157
875	1106	156
876	1107	155
877	1108	154
878	1110	152
879	1111	151
880	1112	150
881	1113	148
882	1119	148
883	1121	147
884	1123	145
885	1127	145
886	1128	143
887	1129	142
888	1130	141
889	1134	140
890	1136	138
891	1137	137
892	1138	136
893	1140	135
894	1141	133
895	1142	132
896	1143	131
897	1144	130
898	1145	128
899	1148	127
900	1149	126
901	1150	125
902	1151	123
903	1152	122
904	1153	121
905	1155	119
906	1156	118
907	1157	117
908	1158	115
909	1159	114
910	1160	113
911	1161	112
912	1163	110
913	1165	109
914	1166	108
915	1167	107
916	1168	105
917	1169	104
918	1170	103
919	1171	101
920	1172	100
921	1173	99
922	1174	98
923	1176	96
924	1177	95
925	1178	94
926	1179	92
927	1180	91
928	1181	90
929	1182	89
930	1184	87
931	1185	86
932	1186	85
933	1187	83
934	1188	82
935	1188	81
936	1190	80
937	1191	78
938	1193	77
939	1194	76
940	1195	74
941	1196	73
942	1197	72
943	1198	71
944	1199	69
945	1200	68
946	1201	67
947	1202	65
948	1203	64
949	1204	63
950	1206	62
951	1207	60
952	1208	59
953	1209	58
954	1210	57
955	1211	55
956	1213	54
957	1214	53
958	1214	51
959	1215	50
960	1216	49
961	1217	48
962	1218	46
963	1220	45
964	1223	44
965	1224	43
966	1225	41
967	1226	40
968	1227	39
969	1228	37
970	1229	36
971	1230	35
972	1231	34
973	1232	32
974	1233	31
975	1234	30
976	1236	29
977	1237	27
978	1238	26
979	1239	25
980	1240	24
981	1241	22
982	1242	21
983	1243	20
984	1244	18
985	1245	17
986	1246	16
987	1247	15
988	1248	13
989	1250	12
990	1252	11
991	1253	10
992	1254	8
993	1255	7
994	1256	6
995	1257	5
996	1258	3
997	1259	2
998	1260	1
999	1261	0
